date,round,category,comment,value,clue,response,link
2005-11-14,J,IN THE NEWS 2005,,200,This country's new president Ahmadinejad may have minored in embassy hostage taking in the 1970s,Iran,NA
2005-11-14,J,SCARY MOVIES,,200,This 1999 movie says it's the footage shot by 3 film students who disappeared in the Maryland woods,The Blair Witch Project,NA
2005-11-14,J,PRESS ON NAILS,,200,Judith Miller got nailed in the Plamegate scandal while reporting for this newspaper,The New York Times,NA
2005-11-14,J,THAT'S MY ROYAL NICKNAME,,200,"Bloody Romanian prince known as ""the Impaler""",Vlad,NA
2005-11-14,J,COLLEGE COURSES,,200,"At Texas A&M civil engineering majors can take a course called advanced design in this ""reinforced"" paving material",concrete,NA
2005-11-14,J,"GO ""STATE""!",,200,"Philander C. Knox, Daniel Webster & John Foster Dulles have all held this federal post",Secretary of State,NA
2005-11-14,J,IN THE NEWS 2005,,400,"12 years after approving NAFTA, Congress barely passed this trade deal opening southern markets",CAFTA,NA
2005-11-14,J,SCARY MOVIES,,400,"When Kate Hudson unlocks a hidden attic room that has a terrifying secret, she uses the title object of this 2005 film",The Skeleton Key,NA
2005-11-14,J,PRESS ON NAILS,,400,This CBS anchor got hammered in 2004 reporting on President Bush's military service,Dan Rather,NA
2005-11-14,J,THAT'S MY ROYAL NICKNAME,,400,"He was ""the Confessor"" king of England in the 11th century",Edward,NA
2005-11-14,J,COLLEGE COURSES,,400,"This University of Nebraska at Omaha offers an English course devoted to this ""Canterbury Tales"" author",Chaucer,NA
2005-11-14,J,"GO ""STATE""!",,400,"President Clinton recognized Hank Aaron's achievements in this January 27, 2000 speech",the State of the Union address,NA
2005-11-14,J,IN THE NEWS 2005,,600,"On Sept. 28, 2005 he stepped down as House Majority Leader (at least temporarily) upon being indicted",Tom DeLay,NA
2005-11-14,J,SCARY MOVIES,,600,"It's terror at 30,000 feet for Rachel McAdams in this 2005 film that's like ""Phone Booth"" on a plane",Red Eye,NA
2005-11-14,J,PRESS ON NAILS,,600,In 2003 this Caribbean island nation put 27 reporters in the slammer for furthering U.S. interests,Cuba,NA
2005-11-14,J,THAT'S MY ROYAL NICKNAME,,NA,"Ottoman emperor styled ""the Magnificent""",Suleiman,NA
2005-11-14,J,COLLEGE COURSES,,600,At N.Y.'s Vassar global feminism & postmodern feminism are 2 of the courses offered in this program,women\'s studies,NA
2005-11-14,J,"GO ""STATE""!",,600,"From the Latin for ""laid waste"", it means to destroy",devastate,NA
2005-11-14,J,IN THE NEWS 2005,,800,"Napster's gone legit, but the Supreme Court ruled against this file-sharing company in MGM Studios v. it",Grokster,NA
2005-11-14,J,SCARY MOVIES,,800,Elisha Cuthbert & Paris Hilton are amazed by the life-like sculptures at this title museum,the House of Wax,NA
2005-11-14,J,PRESS ON NAILS,,800,"This editor had ""Common Sense"" but he was arrested while in France for opposing Louis XVI's execution",Thomas Paine,NA
2005-11-14,J,THAT'S MY ROYAL NICKNAME,,800,"Basil ""the Bulgar-Slayer"" was emperor of this, also called the Eastern Roman Empire",the Byzantine Empire,NA
2005-11-14,J,COLLEGE COURSES,,800,"Here at N.C. State you can find a course on ""The Life and Letters of"" this apostle from Tarsus",Paul,NA
2005-11-14,J,"GO ""STATE""!",,800,Numerical term used to describe the press,the Fourth Estate,NA
2005-11-14,J,IN THE NEWS 2005,,1000,"(Hi, I'm Nancy Grace with CNN Headline News.)  On a busy March 16, 2005, I reported on Scott Peterson's death sentence & this actor's murder acquittal",Robert Blake,http://www.j-archive.com/media/2005-11-14_J_05.jpg
2005-11-14,J,SCARY MOVIES,,1000,"A cross of horror & western, ""The Devil's Rejects"" was written & directed by this shock rocker",Rob Zombie,NA
2005-11-14,J,PRESS ON NAILS,,1000,"Ca.'s Liberty Hill was so named because in 1923 this muckraker & ""Jungle"" author was arrested at a union rally there",Upton Sinclair,NA
2005-11-14,J,THAT'S MY ROYAL NICKNAME,,1000,"Holy Roman emperor Charles II was known by this nickname; today we might call him ""the Follicularly Challenged""","""the Bald""",NA
2005-11-14,J,COLLEGE COURSES,,1000,"Biology majors at Humboldt might take mammalogy, herpetology or this, the study of fish",ichthyology,NA
2005-11-14,J,"GO ""STATE""!",,1000,This term means not having made a will,intestate,NA
2005-11-14,DJ,POETS & POETRY,,400,"2005 marks 150 years since this poet first mowed his ""Leaves of Grass""",Walt Whitman,NA
2005-11-14,DJ,MC TREBEK IN DA HIZZ-OUSE,,400,"""You better lose yourself in the music, the moment, you own it you better never let it go""",Eminem,NA
2005-11-14,DJ,WHICH TIME ZONE?,,400,"Wichita, Kansas",Central,NA
2005-11-14,DJ,A DANGEROUS CATEGORY,,400,"Riding these, Cody Hancock's specialty, is considered by many to be the most dangerous rodeo event",a bull,NA
2005-11-14,DJ,A CLOSE LOOK AT ART,,400,"(Kelly of the Clue Crew points to paints & pigments.)  ""The clash of colors, like the different greens,  express the terrible passions of humanity"", wrote this artist",Van Gogh,http://www.j-archive.com/media/2005-11-14_DJ_22.jpg
2005-11-14,DJ,"""UMP"" IT UP",,400,"A bean, jack or mouse",jumping,NA
2005-11-14,DJ,POETS & POETRY,,800,"""The Love Song of J. Alfred Prufrock"" asks, ""Shall I part my hair behind?  Do I dare to eat"" this fruit",a peach,NA
2005-11-14,DJ,MC TREBEK IN DA HIZZ-OUSE,,800,"""It's gettin' hot in here (so hot), so take off all your clothes""",Nelly,NA
2005-11-14,DJ,WHICH TIME ZONE?,,800,"Toronto, Ontario",Eastern,NA
2005-11-14,DJ,A DANGEROUS CATEGORY,,800,More shark attacks occur in the waters off this country than any other,the United States,NA
2005-11-14,DJ,A CLOSE LOOK AT ART,,800,"In his ""Night Watch"", hierarchy is shown by the shadow of the militia captain's hand on an underling's coat",Rembrandt,NA
2005-11-14,DJ,"""UMP"" IT UP",,800,A dark rye bread that originated in Germany,pumpernickel,NA
2005-11-14,DJ,POETS & POETRY,,NA,In 1993 she became the second poet to recite an original work at a presidential inauguration,Maya Angelou,NA
2005-11-14,DJ,MC TREBEK IN DA HIZZ-OUSE,,1200,"""Sippin' on gin & juice, laid back, with my mind on my money and my money on my mind""",Snoop Dogg,NA
2005-11-14,DJ,WHICH TIME ZONE?,,1200,"El Paso, Texas",Mountain,NA
2005-11-14,DJ,A DANGEROUS CATEGORY,,NA,"According to Homer, these deadly mythological singers enticed many a sailor to his doom",the sirens,NA
2005-11-14,DJ,A CLOSE LOOK AT ART,,1200,"(Kelly of the Clue Crew poses with a Pontormo painting.)  As painters often do, Pontormo inserted one of these into his work called ""Deposition""",a self-portait,http://www.j-archive.com/media/2005-11-14_DJ_24a.jpg
2005-11-14,DJ,"""UMP"" IT UP",,1200,A single amount of money that serves as a complete payment,a lump (sum),NA
2005-11-14,DJ,POETS & POETRY,,1600,"In a Keats ode, these 5 words immediately precede ""that is all ye know on Earth, and all ye need to know""",beauty is truth; truth beauty,NA
2005-11-14,DJ,MC TREBEK IN DA HIZZ-OUSE,,1600,"""Your mom busted in and said 'What's that noise?', aw Mom, you're just jealous, it's"" them",The Beastie Boys,NA
2005-11-14,DJ,WHICH TIME ZONE?,,1600,"Las Vegas, Nevada",Pacific,NA
2005-11-14,DJ,A DANGEROUS CATEGORY,,1600,"In the first Time magazine in 1923, these below-ground workers protested dangerous work conditions",coal miners,NA
2005-11-14,DJ,A CLOSE LOOK AT ART,,1600,"The message of healing in Friedrich's ""Winter Landscape"" includes a discarded pair of these supports",crutches,NA
2005-11-14,DJ,"""UMP"" IT UP",,1600,Asian national capital city with a 2-word name,Kuala Lumpur,NA
2005-11-14,DJ,POETS & POETRY,,2000,This poem by Matthew Arnold mentions the French coast & the cliffs of England,Dover Beach,NA
2005-11-14,DJ,MC TREBEK IN DA HIZZ-OUSE,,2000,"""I been here for years, rockin' my peers & puttin' suckas in fear... Mama said knock you out""",LL Cool J,NA
2005-11-14,DJ,WHICH TIME ZONE?,,2000,"Pensacola, Florida",Central,NA
2005-11-14,DJ,A DANGEROUS CATEGORY,,2000,"Due to storms, the southernmost cape of South America is one of the world's most dangerous places",Cape Horn,NA
2005-11-14,DJ,A CLOSE LOOK AT ART,,2000,"(Jon of the Clue Crew poses with a seascape.)  W.H. Auden wrote, ""Everything turns away quite leisurely from a disaster"" in Bruegel's ""Landscape with the Fall of"" this mythical flier",Icarus,http://www.j-archive.com/media/2005-11-14_DJ_26a.jpg
2005-11-14,DJ,"""UMP"" IT UP",,2000,Term for Republicans who abandoned their own party in 1884 to support Grover Cleveland,the Mugwumps,NA
2005-11-14,FJ,AMERICAN DESIGN,,NA,"A Phillips 66 in Cloquet, Minnesota is the only functioning gas station designed by this man",Frank Lloyd Wright,NA
