date,round,category,comment,value,clue,response,link
2011-04-22,J,THE ENVIRONMENT,(Alex: In honor of Earth Day today.),200,"The Florida wild black type of this carnivore is down to about 3,000 animals & needs its habitat protected",a bear,NA
2011-04-22,J,CELEBRITY FACTS,,200,"In 2010 she got engaged to a choreographer she met on the set of ""Black Swan""",Natalie Portman,NA
2011-04-22,J,LET'S HAVE ITALIAN TONIGHT!,,200,"About 635 violins still exist among the 1,100 instruments this 17th century man constructed",Stradivarius,NA
2011-04-22,J,SAME FIRST & LAST LETTER,,200,This item on a bicycle lets drivers see cyclists at night,taillight (or reflector),NA
2011-04-22,J,HOME FURNISHINGS,,200,"Four-poster is a type of this, sometimes with a canopy",a bed,NA
2011-04-22,J,FATHERS-IN-LAW,,200,United Farm Workers president Arturo Rodriguez' father-in-law was this man who died in 1993,César Chávez,NA
2011-04-22,J,THE ENVIRONMENT,(Alex: In honor of Earth Day today.),400,"A New York Times article said this, falling in winter in the Adirondacks, may be more toxic for fish than its liquid counterpart",acid snow,NA
2011-04-22,J,CELEBRITY FACTS,,400,"Alice Cooper's Phoenix eatery has dishes named for ballplayers & is named this, like the Hall of Fame site",Cooperstown,NA
2011-04-22,J,LET'S HAVE ITALIAN TONIGHT!,,400,"Message for you, sir...!  In 1897 he founded his wireless telegraph & signal company in London",(Guglielmo) Marconi,NA
2011-04-22,J,SAME FIRST & LAST LETTER,,400,"This 5-letter word can mean ""overweight""",plump,NA
2011-04-22,J,HOME FURNISHINGS,,400,You don't have to work in the movie industry to have this furnishing named for a professional,a director\'s chair,http://www.j-archive.com/media/2011-04-22_J_08.jpg
2011-04-22,J,FATHERS-IN-LAW,,400,German emperor Frederick III's was this German-born British prince consort,Prince Albert,NA
2011-04-22,J,THE ENVIRONMENT,(Alex: In honor of Earth Day today.),600,"As you know from the movie ""Medicine Man"", the rain forests hold essential plants for treating this disease",cancer,NA
2011-04-22,J,CELEBRITY FACTS,,600,"(Hi. I'm Kyra Sedgwick.)  Thanks to my appearances in movies like ""The Woodsman"" & ""Murder in the First"", I have a 1, the best score possible, in this popular party game",Six Degrees of Kevin Bacon,http://www.j-archive.com/media/2011-04-22_J_18.jpg
2011-04-22,J,LET'S HAVE ITALIAN TONIGHT!,,600,"This Food Network personality grew up in her film producer grandfather's restaurant, DDL Foodshow",Giada De Laurentiis,NA
2011-04-22,J,SAME FIRST & LAST LETTER,,600,Like a horse,equine,NA
2011-04-22,J,HOME FURNISHINGS,,600,A jardiniere is a decorative stand for holding these,plants,NA
2011-04-22,J,FATHERS-IN-LAW,,600,Catherine Zeta-Jones' is this legendary actor,Kirk Douglas,NA
2011-04-22,NA,NA,NA,NA,NA,NA,NA
2011-04-22,J,CELEBRITY FACTS,,800,Jake Gyllenhaal got his first driving lesson from this late movie star & auto racer,Paul Newman,NA
2011-04-22,J,LET'S HAVE ITALIAN TONIGHT!,,NA,"This Italian-born man began his brief tenure as pope on August 26, 1978",John Paul I,NA
2011-04-22,J,SAME FIRST & LAST LETTER,,800,The part of an atom's nucleus that fits the category,a neutron,NA
2011-04-22,J,HOME FURNISHINGS,,800,"To add a southwestern touch, furnish a room with the rug seen here, named for this second most populous Indian tribe",Navajo,http://www.j-archive.com/media/2011-04-22_J_27.jpg
2011-04-22,J,FATHERS-IN-LAW,,800,Jefferson Davis' was this U.S. president,Zachary Taylor,NA
2011-04-22,NA,NA,NA,NA,NA,NA,NA
2011-04-22,J,CELEBRITY FACTS,,1000,"Angelina Jolie's uncle, Chip Taylor, wrote this song that says, ""You make my heart sing""","""Wild Thing""",NA
2011-04-22,J,LET'S HAVE ITALIAN TONIGHT!,,1000,"In 2002 he wrote ""Baudolino"", a historical novel set in 12th century Europe; what an author... author... author",Umberto Eco,NA
2011-04-22,J,SAME FIRST & LAST LETTER,,1000,Pertaining to the scientific use & study of very low temperatures,cryogenic,NA
2011-04-22,J,HOME FURNISHINGS,,1000,"By definition, this type of china cabinet has a slightly projecting middle section",breakfront,NA
2011-04-22,J,FATHERS-IN-LAW,,1000,Daniel Day-Lewis' was this dramatist,Arthur Miller,NA
2011-04-22,DJ,CLASSICAL COMPOSERS,,400,"His ""Heroic"" Period, from about 1803 to 1812, produced his ""Eroica"" Symphony",Beethoven,NA
2011-04-22,DJ,THEY'RE ON CABLE,,400,"He plays novelist Hank Moody, a New Yorker transplanted to L.A., on ""Californication""",David Duchovny,NA
2011-04-22,DJ,POETIC TITLE VERBS,,400,"""____ by Woods on a Snowy Evening""",Stopping,NA
2011-04-22,DJ,IT'S A COUP D'ETAT,,400,"After his murder, the conspirators did not gain control, as power was passed on to the Second Triumvirate",Julius Caesar,NA
2011-04-22,DJ,COMPOUND WORDS,,400,A student's may be 3-ring or spiral bound,a notebook,NA
2011-04-22,DJ,FATHER'S IN LAW,,400,Father was quite the cutup in Prof. Charles Fried's class at this Massachusetts law school founded in 1817,Harvard,NA
2011-04-22,DJ,CLASSICAL COMPOSERS,,800,One of Verdi's first masterpieces was this Shakespearean opera with an intense sleepwalking scene,Macbeth,NA
