date,round,category,comment,value,clue,response,link
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,J,RANDOM FACTS,,200,"(Hi, I'm Penn Jillette.)  When a magician dies, a wand is sometimes broken at his funeral to symbolize his loss of magical power; the first broken wand ceremony was performed by the Society of American Magicians in 1926 at the memorial service for this famous escapologist",(Harry) Houdini,http://www.j-archive.com/media/2015-09-23_J_09.jpg
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,J,I'M GOIN' TO JACKSON,,200,"The City of Jackson, Michigan was where this political party was formally organized on July 6, 1854",the Republican Party,NA
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,J,2015 ANNIVERSARIES,,400,"In 2015, the Navy Reserve marks 100 years of service by citizen sailors, including this president, who joined the Reserve in 1942",George H.W. Bush,http://www.j-archive.com/media/2015-09-23_J_16.jpg
2015-09-23,J,RANDOM FACTS,,400,"Like tobacco, eggplants & potatoes belong to the nightshade family & contain small amounts of this addictive drug",nicotine,NA
2015-09-23,J,NOTABLE WOMEN,,400,"In a 2015 HBO biopic, Queen Latifah portrayed this legendary blues singer",Bessie Smith,NA
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,J,I'M GOIN' TO JACKSON,,400,The City of Jackson is a state capital & home to the Medical Center at the University of this,Mississippi,NA
2015-09-23,J,GONNA MESS AROUND,,400,"Jon Snow was hit by Cupid's arrows... no, wait, those were fired by Ygritte, who Jon messed around with on this show",Game of Thrones,NA
2015-09-23,J,2015 ANNIVERSARIES,,600,"The 60th anniversary edition of this book includes ""Most people twerking simultaneously""",The Guinness Book of Records,NA
2015-09-23,J,RANDOM FACTS,,600,"Of the traditional birthstones, this June one is the only organic one",a pearl,NA
2015-09-23,J,NOTABLE WOMEN,,600,"A bridge on Congress Avenue in Austin, Texas is named for this feisty late governor",Ann Richards,NA
2015-09-23,J,EVERY OTHER LETTER A VOWEL,,600,"From the French, it's a decorative front of a building, or an illusion",facade,NA
2015-09-23,J,I'M GOIN' TO JACKSON,,600,"Jackson, Tennessee is the biggest city on the I-40 corridor between these two",Memphis & Nashville,http://www.j-archive.com/media/2015-09-23_J_08a.jpg
2015-09-23,J,GONNA MESS AROUND,,600,"J.R. Ewing was hit by Cupid's arrows... no, wait, those were bullets fired by Kristin, who J.R. messed around with on this show",Dallas,NA
2015-09-23,J,2015 ANNIVERSARIES,,800,"To mark the 50th anniversary of ""Bloody Sunday"", Pres. Obama led marchers across the Edmund Pettus Bridge in this city","Selma, Alabama",NA
2015-09-23,J,RANDOM FACTS,,800,The only Nobel Prize whose name includes 2 fields is named this or Medicine,Physiology,NA
2015-09-23,J,NOTABLE WOMEN,,NA,In the 1920s she organized a birth control conference in NYC & a world population   conference in Geneva,Margaret Sanger,NA
2015-09-23,J,EVERY OTHER LETTER A VOWEL,,800,"A boss, be it in business or baseball",manager,NA
2015-09-23,J,I'M GOIN' TO JACKSON,,800,"Jackson, Alabama is on the Tombigbee River, 50 miles north of this bay",Mobile Bay,NA
2015-09-23,J,GONNA MESS AROUND,,800,"On ""Cheers"" the on-again, off-again romance between Sam & this waitress was off for good in 1987",Diane (Chambers),NA
2015-09-23,J,2015 ANNIVERSARIES,,1000,"Turning 150, this magazine has been abolitionist, feminist & environmentalist & is a beacon of the political left",The Nation,NA
2015-09-23,J,RANDOM FACTS,,1000,"The name of Libreville, capital of Gabon, means the same in French as this Sierra Leone capital does in English",Freetown,NA
2015-09-23,J,NOTABLE WOMEN,,1000,"As queen of the Netherlands, she saw her country through 2 World Wars",Wilhelmina,NA
2015-09-23,J,EVERY OTHER LETTER A VOWEL,,1000,"This word for a mosque tower comes from the Arabic for ""lighthouse""",minaret,NA
2015-09-23,J,I'M GOIN' TO JACKSON,,1000,"The City of Jackson in this state was burned on Nov. 17, 1864; Gen. Sherman was said to have ridden along third street",Georgia,NA
2015-09-23,J,GONNA MESS AROUND,,1000,"The happy days of Erin Moran & Scott Baio did not last long on the spin-off where ""Joanie Loves"" this character",Chachi,NA
2015-09-23,DJ,PRESIDENTIAL HOPEFULS' RESUMÉ ITEMS,"(Alex: We're dealing with the present, obviously.)",400,Ex-Burlington mayor,Bernie Sanders,NA
2015-09-23,DJ,CLASSIC COMIC STRIPS,,400,In 2013 this lasagna-loving cat celebrated his 35th birthday,Garfield,NA
2015-09-23,DJ,ANCIENT TIMES,,400,In 30 B.C. this co-ruler of Rome took his own life after Octavian reached Egypt,Antony,NA
2015-09-23,DJ,"ENDS IN ""SH""",,400,"A close living relative is your this ""& blood""",flesh,NA
2015-09-23,DJ,WORLD'S FAIRS & EXPOS,,400,"To raise funds for its base, part of this landmark was displayed at the Centennial Exposition in Philadelphia in 1876",the Statue of Liberty,http://www.j-archive.com/media/2015-09-23_DJ_29.jpg
2015-09-23,NA,NA,NA,NA,NA,NA,NA
2015-09-23,DJ,PRESIDENTIAL HOPEFULS' RESUMÉ ITEMS,"(Alex: We're dealing with the present, obviously.)",800,Was head of pediatric neurosurgery at Johns Hopkins,(Ben) Carson,NA
2015-09-23,DJ,CLASSIC COMIC STRIPS,,800,"Even with inflation this ""Peanuts"" character was always willing to give her advice for 5 cents",Lucy,NA
2015-09-23,DJ,ANCIENT TIMES,,800,475-221 B.C. witnessed what's known as the Warring States period in this Asian country,China,NA
2015-09-23,DJ,"ENDS IN ""SH""",,800,"It means to tease in a playful way, as Mr. Groban could tell you",josh,NA
2015-09-23,DJ,WORLD'S FAIRS & EXPOS,,800,It was at the Pan-American exposition in Buffalo in 1901 that he was fatally shot,McKinley,NA
2015-09-23,DJ,LITERATURE OF THE SOUTH PACIFIC,,800,"He wrote of snowy climes in books like ""White Fang"", then traveled to balmy Tahiti & later penned ""South Sea Tales""",(Jack) London,http://www.j-archive.com/media/2015-09-23_DJ_25.jpg
2015-09-23,DJ,PRESIDENTIAL HOPEFULS' RESUMÉ ITEMS,"(Alex: We're dealing with the present, obviously.)",1200,"Per her website, the first woman to lead a Fortune 50 company",Fiorina,NA
2015-09-23,DJ,CLASSIC COMIC STRIPS,,1200,It followed the imaginative adventures of a 6-year-old boy & his trusty toy tiger,Calvin and Hobbes,NA
2015-09-23,DJ,ANCIENT TIMES,,1200,"Around the 4th millennium B.C., this 2-letter city was founded in Mesopotamia",Ur,NA
2015-09-23,DJ,"ENDS IN ""SH""",,1200,"She was nicknamed ""the First Lady of the Silent Screen""",Lillian Gish,http://www.j-archive.com/media/2015-09-23_DJ_22.mp4
2015-09-23,DJ,WORLD'S FAIRS & EXPOS,,1200,"At the 1904 St. Louis World's Fair, you could enjoy an ice cream cone while waiting to meet this legendary warrior",Geronimo,http://www.j-archive.com/media/2015-09-23_DJ_17.jpg
2015-09-23,DJ,LITERATURE OF THE SOUTH PACIFIC,,1200,"(Sarah of the Clue Crew reports from Pitcairn Island.)  In ""The Long Voyage"", this author mentions Pitcairn Island & Thursday October Christian, Fletcher's son",Charles Dickens,http://www.j-archive.com/media/2015-09-23_DJ_19a.jpg
2015-09-23,DJ,PRESIDENTIAL HOPEFULS' RESUMÉ ITEMS,"(Alex: We're dealing with the present, obviously.)",1600,Current governor of Ohio,John Kasich,NA
2015-09-23,DJ,CLASSIC COMIC STRIPS,,1600,You could say it's wife Helga who wears the skins in the family in this strip,Hagar the Horrible,NA
2015-09-23,DJ,ANCIENT TIMES,,NA,Around 900 A.D. this Central American society's Classic Era collapsed & temple building ceased,the Mayans,NA
2015-09-23,DJ,"ENDS IN ""SH""",,1600,Cymraeg is the native name for this language,Welsh,NA
2015-09-23,DJ,WORLD'S FAIRS & EXPOS,,1600,"""Feeding the Planet, Energy for Life"" is the theme of Expo 2015 held in this city",Milan,NA
2015-09-23,DJ,LITERATURE OF THE SOUTH PACIFIC,,1600,"This author of ""Tales of the South Pacific"" called Bora Bora the Bali Ha'i of the spirit",(James) Michener,http://www.j-archive.com/media/2015-09-23_DJ_20.jpg
2015-09-23,DJ,PRESIDENTIAL HOPEFULS' RESUMÉ ITEMS,"(Alex: We're dealing with the present, obviously.)",NA,Chairs the Senate Armed Services Subcommittee on Personnel,Lindsey Graham,NA
2015-09-23,DJ,CLASSIC COMIC STRIPS,,2000,"Though his original strip ended in 1975, this character lives on as Georgia's state 'possum",Pogo,NA
2015-09-23,DJ,ANCIENT TIMES,,2000,"Not the ""Prince of Tyre"", this Athenian statesman is known for building projects on the Acropolis",Pericles,NA
2015-09-23,DJ,"ENDS IN ""SH""",,2000,You can clean up if you know that the long spikes on this plant give it its 11-letter name,the bottlebrush,http://www.j-archive.com/media/2015-09-23_DJ_10.jpg
2015-09-23,DJ,WORLD'S FAIRS & EXPOS,,2000,The first Ferris wheel made the rounds at the World's Columbian Exposition in this city in 1893,Chicago,http://www.j-archive.com/media/2015-09-23_DJ_12.jpg
2015-09-23,DJ,LITERATURE OF THE SOUTH PACIFIC,,2000,"(Sarah of the Clue Crew walks the beach in Tahiti.)  In ""The Signature of All Things"" by this ""Eat, Pray, Love"" author, Alma Whittaker sails to Tahiti to discover the mysterious fate of her husband",(Elizabeth) Gilbert,http://www.j-archive.com/media/2015-09-23_DJ_21a.jpg
2015-09-23,FJ,HISTORIC LEGISLATION,,NA,"In 1820 Jefferson called this bill ""the knell of the Union,"" saying ""a geographical line... will never be obliterated""",the Missouri Compromise,NA
