date,round,category,comment,value,clue,response,link
1996-05-07,J,MAMMALS,,100,This extremely tall African mammal usually has 2 skin-covered horns,a giraffe,NA
1996-05-07,J,5-LETTER WORDS,,100,Late to class,tardy,NA
1996-05-07,J,U.S. STATES,,100,"Alaska's state fossil is this mammoth; hey, it's cold  there",the woolly mammoth,NA
1996-05-07,J,TELEVISION,,100,"Tim Conway played Ensign Parker on ""McHale's Navy"" & Courtney Thorne-Smith plays Alison Parker on this",Melrose Place,NA
1996-05-07,J,MUSICAL INSTRUMENTS,,100,The Scottish Lowland type of this instrument had a softer sound than the Highland,bagpipes,NA
1996-05-07,J,DIALECTS,(Alex: We'll give you the dialect; you identify the language.),100,"Fu-chou,Amoy-Swatow,Mandarin",Chinese,NA
1996-05-07,J,MAMMALS,,200,"It's web-footed as well as being ""duck-billed""",a platypus,NA
1996-05-07,J,5-LETTER WORDS,,200,"It can mean sharp, or refer to an angle of less than 90 degrees",acute,NA
1996-05-07,J,U.S. STATES,,200,Orleans is this state's largest parish in population,Louisiana,NA
1996-05-07,J,TELEVISION,,200,"""Step by Step""'s Brandon Call was the original Hobie Buchannon on this beach series",Baywatch,NA
1996-05-07,J,MUSICAL INSTRUMENTS,,200,The grand piano ranges in size from the baby grand to this large one   used for performances,the concert grand,NA
1996-05-07,J,DIALECTS,(Alex: We'll give you the dialect; you identify the language.),200,"Castilian, Andalusian,Aragonese",Spanish,NA
1996-05-07,J,MAMMALS,,300,Each of the species of this equine has a distinctive stripe pattern,a zebra,NA
1996-05-07,J,5-LETTER WORDS,,300,Term for the claw of a bird of prey,a talon,NA
1996-05-07,J,U.S. STATES,,300,"With a population of 19,122, Moscow is one of this Spud State's 10 largest cities",Idaho,NA
1996-05-07,J,TELEVISION,,300,"As a Love Boat mermaid in 1985, she performed in production numbers; now she's Lois Lane",Teri Hatcher,NA
1996-05-07,J,MUSICAL INSTRUMENTS,,300,"Used in Indian music, a tabla is this type of percussion instrument",a drum,NA
1996-05-07,J,DIALECTS,(Alex: We'll give you the dialect; you identify the language.),300,"Norman, Angevin, Champenois",French,NA
1996-05-07,J,MAMMALS,,400,"The tusks of a walrus   are these teeth, elongated",canine,NA
1996-05-07,J,5-LETTER WORDS,,400,It's a boat used to carry passengers & vehicles across a river,a ferry,NA
1996-05-07,J,U.S. STATES,,400,"You'll find the Mystic Marinelife Aquarium in this ""Nutmeg State""",Connecticut,NA
1996-05-07,J,TELEVISION,,NA,His show is set in Cleveland:,Drew Carey,http://www.j-archive.com/media/1996-05-07_J_16.jpg
1996-05-07,J,MUSICAL INSTRUMENTS,,400,Les Paul developed & popularized the solid-body type of this instrument in the 1940s,the electric guitar,NA
1996-05-07,J,DIALECTS,(Alex: We'll give you the dialect; you identify the language.),400,"Cretan,Tsakonian,Peloponnesian",Greek,NA
1996-05-07,J,MAMMALS,,500,This great ape of Borneo uses its throat pouch as a resonator for its calls,an orangutan,NA
1996-05-07,J,5-LETTER WORDS,,500,This punctuation mark has more uses than any other,a comma,NA
1996-05-07,J,U.S. STATES,,500,"Before the Civil War, it was nicknamed ""Bleeding"" from the battles over slavery there",Kansas,NA
1996-05-07,J,TELEVISION,,500,"Roanne on ""Phenom"", Jennifer Lien now plays the alien Kes on this series",Star Trek: Voyager,NA
