date,round,category,comment,value,clue,response,link
1995-12-01,J,MOUNTAINS,,100,In modern Greek this peak is called Olimbos,Olympus,NA
1995-12-01,J,ROCK LYRICS,,100,"Chuck Berry asked her, ""Why can't you be true?  You've started back doin' the things you used to do""",Maybellene,NA
1995-12-01,J,SAUCES,,100,"Gribiche sauce contains mustard, fines herbes & these hard-boiled items",eggs,NA
1995-12-01,J,WEATHER,,100,"A lot of this blowing around creates a ""whiteout""",snow,NA
1995-12-01,J,HISTORY,,100,At its height the Aztec empire covered roughly one-fifth of what's now this country,Mexico,NA
1995-12-01,J,HOMOPHONES,,100,"A ballet dancer's exercise equipment, or a place for a drinker to belly up",barre/bar,NA
1995-12-01,J,MOUNTAINS,,200,Tibetans call it Chomolungma,Everest,NA
1995-12-01,J,ROCK LYRICS,,200,"In ""Purple Haze"" Jimi Hendrix sang, ""Actin' funny, but I don't know why, scuse me while I"" do this",kiss the sky,NA
1995-12-01,J,SAUCES,,200,Albert sauce is a rich horseradish sauce traditionally served with this meat,roast beef,NA
1995-12-01,J,WEATHER,,200,"If you experience a wind known as a sirocco, you're in this desert",Sahara,NA
1995-12-01,J,HISTORY,,200,"She went to Rome after she bore Caesarion, who became Ptolemy XV",Cleopatra,NA
1995-12-01,J,HOMOPHONES,,200,"A ballet ensemble, or an apple center",corps/core,NA
1995-12-01,J,MOUNTAINS,,300,The monastery of St. Catherine stands on the reputed site of the burning bush at the foot of this mountain,Sinai,NA
1995-12-01,J,ROCK LYRICS,,300,"Question that follows Chicago's ""Does anybody really know what time it is?""",Does anybody really care?,NA
1995-12-01,J,SAUCES,,300,"You'll need several cloves of this to make aioli, which is often served over fish",garlic,NA
1995-12-01,J,WEATHER,,300,Air pressure is usually measured in millibars or in inches of this metal,mercury,NA
1995-12-01,J,HISTORY,,300,"With their conquest of Granada in 1492, this ruling pair unified Spain",Ferdinand and Isabella,NA
1995-12-01,J,HOMOPHONES,,300,"A Proust character, or a ballet lake",Swann/Swan,NA
1995-12-01,J,MOUNTAINS,,400,"This range in northern New York has 2 peaks over 5,000 feet: Mount Marcy & Algonquin Peak",Adirondacks,NA
