date,round,category,comment,value,clue,response,link
2020-09-14,J,OPENING STATEMENTS,,200,"This girl ""lived in the midst of the great Kansas prairies, with Uncle Henry...""",Dorothy,NA
2020-09-14,J,DISCOVERY,,200,In 1985 this ship was discovered by a U.S. Navy expedition led by Robert Ballard that found where she had lain for 73 years,the Titanic,NA
2020-09-14,J,APPROACH THE BENCH,,200,"Claiming this star player was out of shape for a 2008 exhibition vs. Germany, England's soccer coach benched it like him",Beckham,NA
2020-09-14,NA,NA,NA,NA,NA,NA,NA
2020-09-14,NA,NA,NA,NA,NA,NA,NA
2020-09-14,J,SENTENCING,,200,"In ""He gave the dog a bone"", bone is a direct one of these & dog is an indirect one",an object,NA
2020-09-14,J,OPENING STATEMENTS,,400,"""Moby-Dick"" begins with this 3-word sentence","""Call me Ishmael.""",NA
2020-09-14,J,DISCOVERY,,400,Collective name for the ancient manuscript fragments discovered in 1947 in caves in the Qumran region of the West Bank,the Dead Sea Scrolls,NA
2020-09-14,J,APPROACH THE BENCH,,400,Soviet coach Viktor Tikhonov's benching of goalie Vladislav Tretiak helped Team USA get miraculous at the 1980 Olympics in this village,Lake Placid,NA
2020-09-14,J,CROSS EXAMINATION,,400,A t-shaped cross also called St. Anthony's cross bears the name of this Greek letter,tau,NA
2020-09-14,J,SIDE BAR,,400,It's a curled piece of lemon peel to garnish a cocktail,a twist,NA
2020-09-14,J,SENTENCING,,400,"In French most adjectives are postpositive, meaning you'll find them here",after the noun,NA
2020-09-14,J,OPENING STATEMENTS,,600,"She started a novel, ""Emma Woodhouse, handsome, clever, and rich...""",Jane Austen,NA
2020-09-14,J,DISCOVERY,,600,In this year James Marshall discovered gold from the American River in California; the next year the rush was on,1848,NA
2020-09-14,J,APPROACH THE BENCH,,600,"Backups Lenn Sakata, Ron Washington & Juan Bell had time to bird watch as Cal Ripken Jr. played nonstop for this team",the (Baltimore) Orioles,NA
2020-09-14,J,CROSS EXAMINATION,,NA,"Also known as St. Andrew's cross, the crux decussata can represent the Roman numeral of this number",10,NA
2020-09-14,J,SIDE BAR,,600,"Orgeat syrup, which sweetens many a Mai Tai, is flavored with these nuts",almonds,NA
2020-09-14,J,SENTENCING,,600,"Austrian novelist Thomas Bernhard used long sentences; the 2nd sentence of ""Correction"" has 79 of these punctuation marks",commas,NA
2020-09-14,J,OPENING STATEMENTS,,800,"""Happy families are all alike"", begins his ""Anna Karenina""",Tolstoy,NA
2020-09-14,J,DISCOVERY,,800,"In late 1805 this pair's Corps of Discovery arrived at the Pacific Ocean near what is now Astoria, Oregon",Lewis & Clark,NA
2020-09-14,J,APPROACH THE BENCH,,800,"Eli Manning started 232 of 233 regular season games at QB for this team but in 2019, couldn't keep up with the (Daniel) Jones",the Giants,NA
2020-09-14,J,CROSS EXAMINATION,,800,A cross with a ring superimposed is also called this alliterative cross,a Celtic cross,http://www.j-archive.com/media/2020-09-14_J_22.jpg
2020-09-14,J,SIDE BAR,,800,"This implement is used to crush ingredients at the bottom of a drink, like the mint in a Mojito",a muddler,http://www.j-archive.com/media/2020-09-14_J_18.jpg
2020-09-14,J,SENTENCING,,800,"This is the subject at hand; this type of ""sentence"" tells the main idea of a paragraph",the topic,NA
2020-09-14,J,OPENING STATEMENTS,,1000,"This Poe story begins, ""True!--nervous--very, very dreadfully nervous I had been and am""","""The Tell-Tale Heart""",NA
2020-09-14,J,DISCOVERY,,1000,"At Mount Wilson Observatory in the 1920s, Edwin Hubble made the discovery that this isn't a nebula but a large galaxy all its own",Andromeda,NA
2020-09-14,J,APPROACH THE BENCH,,1000,"N.Y. Yankee Wally Pipp had a headache in 1925, so this ""lucky"" man played at 1st; he didn't leave the lineup until 1939",Lou Gehrig,NA
2020-09-14,J,CROSS EXAMINATION,,1000,"Egyptians used the crux ansata, a cross with a loop on top, better known by this 4-letter name",an ankh,NA
