date,round,category,comment,value,clue,response,link
2008-01-02,J,EYE ON AFRICA,,200,"If Bogie were still Running Rick's Cafe Americain like he did on film, he'd be living in this country",Morocco,NA
2008-01-02,J,CRAIGS LIST,,200,Valerie Bertinelli has joined Kirstie Alley as a spokesperson for this weight-loss program,Jenny Craig,NA
2008-01-02,J,THE STAMP ACT,,200,"Introduced in 2007, the Forever Stamp ""rings in"" the 41-cent rate, depicting this American icon",the Liberty Bell,NA
2008-01-02,J,"AN ""A"" IN AMERICAN HISTORY",,200,"On March 6, 1836 Jim Bowie, weak as a kitten from illness, was killed by Mexican troops while lying in his cot there",the Alamo,NA
2008-01-02,J,IT'S ON THE TIP OF MY TONGUE,,200,"You know, this place...  London's West End...  775 rooms, 4 main wings, a 40-acre garden... Ah, geez...",Buckingham Palace,NA
2008-01-02,J,RHYME STOPPER,"(Alex: Each correct response will rhyme with the word ""stopper"".)",200,"A big lie, or a Burger King favorite",a whopper,NA
2008-01-02,J,EYE ON AFRICA,,400,"On landing in Accra, the very first Peace Corps volunteers sang this country's national anthem on the tarmac",Ghana,NA
2008-01-02,J,CRAIGS LIST,,400,In 2006 this actor was in Bond-age & left moviegoers shaken & stirred,Daniel Craig,NA
2008-01-02,J,THE STAMP ACT,,400,"The EID Stamp, featuring Arabic calligraphy, celebrates festivals of this religion",Islam,NA
2008-01-02,J,"AN ""A"" IN AMERICAN HISTORY",,400,"This 3-word Virginia village, site of a surrender, was made a National Historic Park in 1954",Appomattox Court House,NA
2008-01-02,J,IT'S ON THE TIP OF MY TONGUE,,400,Singing this way...  Like Tyrolean mountaineers...  Going from ordinary voice to falsetto & back...  It's right there...,yodeling,NA
2008-01-02,J,RHYME STOPPER,"(Alex: Each correct response will rhyme with the word ""stopper"".)",400,"Mayor James Harper equipped the NYC police with their first uniforms, with buttons made of this",copper,NA
2008-01-02,J,EYE ON AFRICA,,600,This nation has the dubious distinction as the birthplace of the Internet e-mail scams known as 419 Fraud,Nigeria,NA
2008-01-02,J,CRAIGS LIST,,600,"As food editor of this newspaper, Craig Claiborne gave all the recipes that were fit to print for nearly 30 years",The New York Times,NA
2008-01-02,J,THE STAMP ACT,,600,The Crops of the Americas stamps included corn & this state flower of Kansas,the sunflower,NA
2008-01-02,J,"AN ""A"" IN AMERICAN HISTORY",,600,"On New Year's Day 1801, she opened the executive mansion to visitors for the first time",Abigail Adams,NA
2008-01-02,J,IT'S ON THE TIP OF MY TONGUE,,600,"It's a weather term...  Perhaps from a word for ""long grass on damp ground"", it describes a daze...  I'm in one now...",fog,NA
2008-01-02,J,RHYME STOPPER,"(Alex: Each correct response will rhyme with the word ""stopper"".)",600,A helicopter or a motorcycle,a chopper,NA
2008-01-02,J,EYE ON AFRICA,,800,"In the first Allied victory of World War I, Togo was captured from this European country",Germany,NA
2008-01-02,J,CRAIGS LIST,,800,"This funny Scotsman is seen here & on late, late television",Craig Ferguson,http://www.j-archive.com/media/2008-01-02_J_29.jpg
2008-01-02,J,THE STAMP ACT,,800,"A triangular stamp honoring the 400th anniversary of its settlement depicts the Discovery, the Godspeed & the Susan Constant",Jamestown,NA
2008-01-02,J,"AN ""A"" IN AMERICAN HISTORY",,800,In 1942 Japanese forces captured Attu in this Alaskan island group & relocated its inhabitants,the Aleutians,NA
2008-01-02,J,IT'S ON THE TIP OF MY TONGUE,,800,"Oh yeah, this car company...  It makes the Explorer & the Excursion...  I can't believe I'm blanking here...",Ford,NA
2008-01-02,J,RHYME STOPPER,"(Alex: Each correct response will rhyme with the word ""stopper"".)",800,He rode on the same last flight as Ritchie Valens & Buddy Holly,the Big Bopper,NA
2008-01-02,J,EYE ON AFRICA,,1000,The Drakensberg Mountains form part of South Africa's border with this small landlocked country,Lesotho,NA
2008-01-02,J,CRAIGS LIST,,1000,Craig Bierko played Max Baer in this 2005 film about Depression-era boxer Jim Braddock,Cinderella Man,NA
2008-01-02,J,THE STAMP ACT,,1000,A 1-cent stamp that's part of the American design series shows a lamp named for this designer,(Louis Comfort) Tiffany,NA
2008-01-02,J,"AN ""A"" IN AMERICAN HISTORY",,NA,"Secretary of State under Truman, he negotiated the treaty that led to the formation of NATO in 1949",(Dean) Acheson,NA
2008-01-02,J,IT'S ON THE TIP OF MY TONGUE,,1000,"Oh man, this guy...  Was director of scientific studies at the Ecole Normale in 1857...  Him""-ization""...  Help me out here!",(Louis) Pasteur,NA
2008-01-02,J,RHYME STOPPER,"(Alex: Each correct response will rhyme with the word ""stopper"".)",1000,The cone-headed type of this is related to the katydid,a grasshopper,NA
2008-01-02,DJ,AMELIA EARHART,,400,"In June 1928 Amelia became the first woman to fly across this body of water, though she was only a passenger",the Atlantic,NA
2008-01-02,DJ,THE NATIONAL RECORDING REGISTRY,(Alex: And that's the Library of Congress.),400,The latest recording on the 2006 additions to the list is this Paul Simon album recorded with African musicians,Graceland,NA
2008-01-02,DJ,SCIENCE CLASS,,400,"This ""Age"" is divided into the Paleolithic, the Mesolithic, & the Neolithic",the Stone Age,NA
2008-01-02,DJ,LET'S GET SAUCED,,400,You can tell from the name that a vin blanc sauce has this specific type of potent potable in it,white wine,NA
2008-01-02,DJ,DEATH OF AN AUTHOR,,400,"She died on July 18, 1817 after dealing with some pride & prejudice in her day",Jane Austen,NA
2008-01-02,DJ,"""Z"" END",(Alex: Each correct response will end with that letter of the alphabet.),400,It was first dispensed as a peppermint candy in Vienna,Pez,NA
2008-01-02,DJ,AMELIA EARHART,,800,"Amelia was promised her independence when she married George Putnam, of a prominent family in this business",publishing,NA
2008-01-02,DJ,THE NATIONAL RECORDING REGISTRY,(Alex: And that's the Library of Congress.),800,"This singer made the list with his 1920 recording of ""Swanee""",Al Jolson,NA
2008-01-02,DJ,SCIENCE CLASS,,800,"(Sarah of the Clue Crew gives the clue.) We've rubbed the pigment of a radish on these cards; lemon juice turns the pigment orange, indicating that it's an acid; milk of magnesia turns it blue, indicating that it's this",a base,http://www.j-archive.com/media/2008-01-02_DJ_12b.jpg
2008-01-02,DJ,LET'S GET SAUCED,,800,"Chasseur sauce, aka this style sauce, gets its name because it was originally meant for badly shot game",hunter sauce,NA
2008-01-02,DJ,DEATH OF AN AUTHOR,,800,"On Sept. 28, 1891 he died in New York City after a whale of a life",(Herman) Melville,NA
2008-01-02,DJ,"""Z"" END",(Alex: Each correct response will end with that letter of the alphabet.),800,"The name of this, a thin pancake filled with cheese or fruit, is from the Yiddish",a blintz,NA
2008-01-02,DJ,AMELIA EARHART,,1200,Amelia's first plane was bright yellow & named for this songbird,a canary,NA
2008-01-02,DJ,THE NATIONAL RECORDING REGISTRY,(Alex: And that's the Library of Congress.),NA,The Fisk Jubilee Singers were coming for to carry this spiritual onto the Registry,"""Swing Low, Sweet Chariot""",NA
2008-01-02,DJ,SCIENCE CLASS,,1200,"As a visiting scientist to this Caltech lab, Carl Sagan contributed to the first missions to Venus",JPL (Jet Propulsion Laboratory),NA
2008-01-02,DJ,LET'S GET SAUCED,,1200,"Go ""Dutch"" & tell me the name of this butter, egg yolk, & lemon juice sauce",hollandaise,NA
2008-01-02,DJ,DEATH OF AN AUTHOR,,1200,"No amount of electricity could reanimate her on Feb. 1, 1851",(Mary) Shelley,NA
2008-01-02,DJ,"""Z"" END",(Alex: Each correct response will end with that letter of the alphabet.),1200,"A schmancy hotel gives us this word for a fancy display that you might ""put on""",the Ritz,NA
2008-01-02,DJ,AMELIA EARHART,,1600,"In 1935 Amelia flew solo in about 18 hours from Wheeler Field, located here, to Oakland, California",Hawaii,NA
2008-01-02,DJ,THE NATIONAL RECORDING REGISTRY,(Alex: And that's the Library of Congress.),1600,"He's the populist pol heard here in a 1935 speech""Every man a king: every man sharing in the splendor and abundance of God's Earth.""",Huey Long,NA
2008-01-02,DJ,SCIENCE CLASS,,1600,"Gustav Kirchhoff & Robert Bunsen used this prismed ""scope"" to see the bands of colored light each element produced",a spectroscope,NA
2008-01-02,DJ,LET'S GET SAUCED,,1600,"""The butter of Provence"", this sauce gets its name from the French for garlic, ""ail""",aioli,NA
2008-01-02,DJ,DEATH OF AN AUTHOR,,NA,"After Oct. 19, 1745 he would make no more modest proposals",(Jonathan) Swift,NA
2008-01-02,DJ,"""Z"" END",(Alex: Each correct response will end with that letter of the alphabet.),1600,Adjective meaning artificial or synthetic,ersatz,NA
2008-01-02,DJ,AMELIA EARHART,,2000,(Jimmy of the Clue Crew is in the pilot's seat of a cockpit mockup.)  I'm at the National Geographic Society's Explorers Hall in a Lockheed Electra like the one in which  Amelia Earhart took off from this large island on her last flight,New Guinea,http://www.j-archive.com/media/2008-01-02_DJ_27a.jpg
2008-01-02,DJ,THE NATIONAL RECORDING REGISTRY,(Alex: And that's the Library of Congress.),2000,"His 1963 ""Live at the Apollo"" album brought his soul to a wider audience",James Brown,NA
2008-01-02,DJ,SCIENCE CLASS,,2000,"Named for a physicist, it's the amount of work done when 1 amp passes through 1 ohm of resistance for 1 second",a joule,NA
2008-01-02,DJ,LET'S GET SAUCED,,2000,"Gherkins & anchovies go in this chilled, flavored mayonnaise that's big in Cajun shrimp dishes",remoulade,NA
2008-01-02,DJ,DEATH OF AN AUTHOR,,2000,"It was this author, not the wallpaper, who went on Nov. 30, 1900",(Oscar) Wilde,NA
2008-01-02,DJ,"""Z"" END",(Alex: Each correct response will end with that letter of the alphabet.),2000,This unit of frequency is equal to one cycle per second,hertz,NA
2008-01-02,FJ,THE BOX OFFICE,,NA,"Rated ""R"" for violence, this 2004 film set in ancient times is the highest-grossing ""R"" movie ever in the U.S.",The Passion of the Christ,NA
