date,round,category,comment,value,clue,response,link
2003-01-10,J,AROUND THE WORLD,,200,The province of Zeeland in southwest Holland lent its name to this country in the South Pacific,New Zealand,NA
2003-01-10,J,TOYS & GAMES,,200,"Ruth Handler named this doll, introduced in 1959 as a teenage fashion model, for her daughter",Barbie,NA
2003-01-10,J,I'M SUPERSTITIOUS!,,200,You'll get your desired hope if you end up with the larger portion of this turkey piece when it's pulled apart,the wishbone,NA
2003-01-10,J,AESOP A.S.A.P.,,200,"One of these creatures talks a lion out of eating him, later saves the lion from a trap",mouse,NA
2003-01-10,J,THE WHITE HOUSE,,200,This was the second U.S. president to live in the first White House,John Adams,NA
2003-01-10,J,"ARE ""WE"" THERE YET?",,200,"Make a rug or a basket, or zigzag your way through traffic",weave,NA
2003-01-10,J,AROUND THE WORLD,,400,"Although this South American country is about 2,650 miles long, its average width is less than 110 miles",Chile,NA
2003-01-10,J,TOYS & GAMES,,400,"The name of this card game means ""one"" in Spanish",Uno,NA
2003-01-10,J,I'M SUPERSTITIOUS!,,400,"It's the lucky, mutant plant, seen here",a four-leaf clover,http://www.j-archive.com/media/2003-01-10_J_12.jpg
2003-01-10,J,AESOP A.S.A.P.,,400,Farmer proves strength in unity to sons by showing a bundle of these that can't be broken all at once,sticks,NA
2003-01-10,J,THE WHITE HOUSE,,400,"The wife of President Benjamin Harrison had this installed in the White House, but was afraid to turn it on & off!",electricity,NA
2003-01-10,J,"ARE ""WE"" THERE YET?",,400,"Cake cut by those who've just ""tied the knot""",wedding (cake),NA
2003-01-10,J,AROUND THE WORLD,,NA,"This mountain range, whose name means ""abode of snow"" in Sanskrit, has more than 30 peaks towering above 25,000 feet",the Himalayas,NA
2003-01-10,J,TOYS & GAMES,,600,"Harry, seen here, is one of these collectibles",a Beanie Baby,http://www.j-archive.com/media/2003-01-10_J_03.jpg
2003-01-10,J,I'M SUPERSTITIOUS!,,600,If one of these animals crosses your path a superstition says you'll experience misfortune,a black cat,NA
2003-01-10,J,AESOP A.S.A.P.,,600,"Fox can't reach these, decides they are sour",grapes,NA
2003-01-10,J,THE WHITE HOUSE,,600,One of the three colors used to name rooms on the first floor of the White House,green (or red or blue),NA
2003-01-10,J,"ARE ""WE"" THERE YET?",,600,"If you're ""under"" this, you're not feeling well, or maybe getting rained on",weather,NA
2003-01-10,J,AROUND THE WORLD,,800,The Gulfs of Aqaba & Suez border this Egyptian peninsula,the Sinai Peninsula,NA
2003-01-10,J,TOYS & GAMES,,800,"Despite the name of this game, you don't have to apologize when you send another player's pawn back to the start",Sorry!,NA
