date,round,category,comment,value,clue,response,link
2001-02-22,J,AFRICAN AMERICANS,,100,Lewis Latimer developed a carbon filament for this device & later worked for its inventor,Light bulb,NA
2001-02-22,J,U.S. ARMED FORCES INSIGNIA,,100,This ship accessory is firmly set in the Marine Corps emblem,Anchor,NA
2001-02-22,J,WESTERNS,,100,William Goldman won an Oscar for the screenplay to this Newman-Redford flick,Butch Cassidy and the Sundance Kid,NA
2001-02-22,J,FIRST NOVELS,,100,"Xavier Herbert's debut novel, ""Capricornia"", explores the lives of Aborigines in this country's northern Outback",Australia,NA
2001-02-22,J,ACROSTICS,"(Alex: Reading down, each clue will contain an acrostic which relates to the clue which I will give you in the word itself.)",100,CUBURSINEPANDAPOLAR,Bear,NA
2001-02-22,J,STATE OF MINE,,100,"This state's school of mines, based in Golden, has an experimental mine in Idaho Springs",Colorado,NA
2001-02-22,J,AFRICAN AMERICANS,,200,"Bessie Coleman, seen here on a Black Heritage stamp, traveled to Europe to earn this type of license",a pilot\'s license,http://www.j-archive.com/media/2001-02-22_J_17.jpg
2001-02-22,J,U.S. ARMED FORCES INSIGNIA,,200,The stars of a 4-star Army general are this color,Silver,NA
2001-02-22,J,WESTERNS,,200,"This singer's films include the westerns ""Flaming Star"", ""Charro!"" & ""Love Me Tender""",Elvis Presley,NA
2001-02-22,J,FIRST NOVELS,,200,"This southern playwright's first novel, ""The Roman Spring of Mrs. Stone"", became a film starring Vivian Leigh",Tennessee Williams,NA
2001-02-22,J,ACROSTICS,"(Alex: Reading down, each clue will contain an acrostic which relates to the clue which I will give you in the word itself.)",200,LOFTTRACTORHORSELAMB,Farm (the third letter),NA
2001-02-22,J,STATE OF MINE,,200,This state's Wilkes-Barre district won a mine reclamation award for its Upper Lehigh site,Pennsylvania,NA
2001-02-22,J,AFRICAN AMERICANS,,300,"Starting in 1927, this ""noble"" man's big band broadcast on radio from Harlem's Cotton Club",Duke Ellington,NA
2001-02-22,J,U.S. ARMED FORCES INSIGNIA,,300,In the Army it's the bird a Colonel Sanders would sport,Eagle,NA
2001-02-22,J,WESTERNS,,300,This Dustin Hoffman title character was also known as Jack Crab & the Soda Pop Kid,Little Big Man,NA
2001-02-22,J,FIRST NOVELS,,300,"This 19th century New Englander later tried to destroy all the copies of his anonymous first novel, ""Fanshawe""",Nathaniel Hawthorne,NA
2001-02-22,J,ACROSTICS,"(Alex: Reading down, each clue will contain an acrostic which relates to the clue which I will give you in the word itself.)",300,ROBINSWIFTTERNBUDGIE,bird (third letter again),NA
2001-02-22,J,STATE OF MINE,,300,Historic mining centers in this state include Gallup for coal & Grants for uranium,New Mexico,NA
2001-02-22,J,AFRICAN AMERICANS,,400,"John Brown called this woman a ""general"" because of her bravery in helping slaves escape",Harriet Tubman,NA
2001-02-22,J,U.S. ARMED FORCES INSIGNIA,,NA,"A private E-2 has one of these -- the symbol, not the gas station",Chevron,NA
2001-02-22,J,WESTERNS,,400,"As deputy Tom Destry in ""Destry Rides Again"", this actor drinks milk & refuses to carry guns",Jimmy Stewart,NA
2001-02-22,J,FIRST NOVELS,,400,"Not surprisingly, Ireland is the setting for this ""Circle of Friends"" author's first novel, ""Light A Penny Candle""",Maeve Binchy,NA
2001-02-22,J,ACROSTICS,"(Alex: Reading down, each clue will contain an acrostic which relates to the clue which I will give you in the word itself.)",400,BLOWINGCLARINETTORNADOOUTDOOR,Wind (the fourth letter from the end of each word),NA
2001-02-22,J,STATE OF MINE,,400,"The documentary ""Harlan County U.S.A."" studies a miners' strike in this state",Kentucky,NA
2001-02-22,J,AFRICAN AMERICANS,,500,"""I cannot offer you money, position or fame"", he said when he offered George Washington Carver a job at Tuskegee",Booker T. Washington,NA
2001-02-22,J,U.S. ARMED FORCES INSIGNIA,,500,"This top Navy rank, only used in wartime, wears 1 2-inch stripe with 4 1/2-inchers",Fleet Admiral,NA
2001-02-22,NA,NA,NA,NA,NA,NA,NA
2001-02-22,J,FIRST NOVELS,,500,"This Auchincloss used the pen name Andrew Lee in his first novel, ""The Indifferent Children""",Louis Auchincloss,NA
2001-02-22,J,ACROSTICS,"(Alex: Reading down, each clue will contain an acrostic which relates to the clue which I will give you in the word itself.)",500,ASTERISKSTRIPEDAVID BRIGHT,Star (the second letter),NA
2001-02-22,J,STATE OF MINE,,500,A 1907 disaster killed some 360 coal miners near Fairmont in this state,West Virginia,NA
2001-02-22,DJ,THE NEW YORK TIMES SCIENCE TIMES,,200,A computer programmed by Dr. David Fogel taught itself this game that includes jumping & crowning,checkers,NA
2001-02-22,DJ,SHAQUILLE O'NEAL,,200,This Laker coach inspired Shaq by giving him a volume of Nietzsche,Phil Jackson,NA
2001-02-22,DJ,WHAT CABINET DEPARTMENT?,,200,The Federal Highway Administration,Transportation,NA
2001-02-22,DJ,"""T""HEATER",,200,"This synonym for ""actor"" is taken from the name of a real actor of ancient Greece",thespian (from Thespis),NA
2001-02-22,DJ,GIVE 'EM THE BOOT,,200,This term for a young woman of the '20s may come from the sound of her unfastened boots,flapper,NA
2001-02-22,DJ,STATE OF MIND,,200,"If you're this ""on your luck"", you might also be this ""in the mouth""",down,NA
2001-02-22,DJ,THE NEW YORK TIMES SCIENCE TIMES,,400,"These hunting birds have made a comeback in New York City, where they feast on pigeons",peregrine falcons,NA
2001-02-22,DJ,SHAQUILLE O'NEAL,,400,In 1992 this team pulled the No. 1 draft pick out of a hat & used it on Shaq,the Orlando Magic,NA
2001-02-22,DJ,WHAT CABINET DEPARTMENT?,,400,The Secret Service,Treasury,NA
2001-02-22,DJ,"""T""HEATER",,400,"The dramatization of this Erskine Caldwell novel ran for more than 3,000 performances on Broadway",Tobacco Road,NA
2001-02-22,DJ,GIVE 'EM THE BOOT,,400,"This woman took the song heard here to No. 1:""These boots are made for walkin'...""",Nancy Sinatra,NA
2001-02-22,DJ,STATE OF MIND,,400,"Often followed by ""up"", it can mean ""not liquored up"" or ""serious in demeanor""",sobered,NA
2001-02-22,DJ,THE NEW YORK TIMES SCIENCE TIMES,,600,This virus named for an African area killed 7 people in New York state in 1999,West Nile Virus,NA
2001-02-22,DJ,SHAQUILLE O'NEAL,,600,"Shaq dismissed this person in the rap ""Biological Didn't Bother""",his father,NA
2001-02-22,DJ,WHAT CABINET DEPARTMENT?,,600,The Diplomatic Security Service,State,NA
2001-02-22,DJ,"""T""HEATER",,600,Tracey Ullman & Helen Hunt were Kate & Bianca in a Wild West-set 1990 production of this play,The Taming of the Shrew,NA
