date,round,category,comment,value,clue,response,link
2010-10-18,J,AMERICAN HISTORY,,200,"On Nov. 9, 1906 Teddy Roosevelt left the U.S. to personally see the progress on this engineering project",the Panama Canal,NA
2010-10-18,J,TV SHOW ADDRESSES,,200,"Al & Peg's place at 9764 Jeopardy Lane, Chicago",Married... With Children,NA
2010-10-18,J,IT'S A MARSHMALLOW WORLD,,200,"Originally the marshmallow bits in this cereal included pink hearts, yellow moons & green clovers",Lucky Charms,NA
2010-10-18,J,THAT'S BORDERLINE,,200,"Kazakhstan has less than a 1,000-mile border with China, but an over 4,000-mile one with this country",Russia,NA
2010-10-18,J,"I GIVE YOU AN ""NCH""",,200,This character lived just north of Who-ville & hated roast beast (for a while),the Grinch,NA
2010-10-18,J,YOU TAKE A MILE,,200,"In 2008 this ""Hoosier State"" announced a $33 mil. cleanup of a mile of the PCB-& DDT-filled Grand Calumet River",Indiana,NA
2010-10-18,J,AMERICAN HISTORY,,400,"The British party of this name aimed to limit the king's powers; the U.S. party hoped to limit ""King Andrew"" Jackson",the Whigs,NA
2010-10-18,J,TV SHOW ADDRESSES,,400,"The creepy 1313 Mockingbird Lane, in Mockingbird Heights",The Munsters,NA
2010-10-18,J,IT'S A MARSHMALLOW WORLD,,400,"One of these made with 7,000 Hershey bars, 20,000 marshmallows & 24,000 Graham crackers set a record",a s\'more,NA
2010-10-18,J,THAT'S BORDERLINE,,400,These 2 countries share the longest noncontiguous border,Canada & the United States,NA
2010-10-18,J,"I GIVE YOU AN ""NCH""",,400,"Powdery snow & air that may move faster than 100 mph make up a ""dry snow"" this",an avalanche,NA
2010-10-18,J,YOU TAKE A MILE,,400,"You might be MIA at MIA, this city's international airport; its concourse D is 1.3 miles long, end to end",Miami,NA
2010-10-18,J,AMERICAN HISTORY,,600,"(Sarah of the Clue Crew shows a map of New England on the monitor.) In May 1643, to discourage attacks by the Dutch & others, the United Colonies of New England was formed by 4 Puritan colonies: Massachusetts Bay, Connecticut, New Haven & this one",Plymouth,http://www.j-archive.com/media/2010-10-18_J_26a.jpg
2010-10-18,J,TV SHOW ADDRESSES,,600,"Ah geez, youse guys, the address is 704 Hauser Street, Queens",All in the Family,NA
2010-10-18,J,IT'S A MARSHMALLOW WORLD,,600,A little birdie told us there's a 2009 documentary all about these marshmallow Easter treats,Peeps,NA
2010-10-18,J,THAT'S BORDERLINE,,600,"Armenia has only 22 miles of border with this southern neighbor, a vital fuel supplier",Iran,NA
2010-10-18,J,"I GIVE YOU AN ""NCH""",,600,"6-letter word for a large & protruding belly, not Erik Estrada's ""CHiPs"" character",a paunch,NA
2010-10-18,J,YOU TAKE A MILE,,600,The world's first stretch of road made of this hard material was between 6 & 7 mile roads in what's now Detroit,concrete,NA
2010-10-18,J,AMERICAN HISTORY,,800,"On May 15, 1972 while campaigning in Laurel, Md., this Alabama governor was shot & paralyzed by Arthur Bremer",George Wallace,NA
2010-10-18,J,TV SHOW ADDRESSES,,NA,"A 32-room, 14-bathroom mansion at 518 Crestview Drive in 90210 land",The Beverly Hillbillies,NA
2010-10-18,J,IT'S A MARSHMALLOW WORLD,,800,"Mini marshmallows are a fun addition to this classic salad of apples, walnuts & mayonnaise",a Waldorf salad,NA
2010-10-18,J,THAT'S BORDERLINE,,800,"The capital of this country is within 100 miles of France, Germany, Italy & Liechtenstein",Switzerland,NA
2010-10-18,J,"I GIVE YOU AN ""NCH""",,800,"As a verb, it means to twist suddenly; as a noun, it's a bolt-twisting tool",wrench,NA
2010-10-18,J,YOU TAKE A MILE,,800,"In 1987, a mile-long garbage slick was spotted off Monmouth County in this state; call Tony Soprano, he's in waste mgmt.",New Jersey,NA
