date,round,category,comment,value,clue,response,link
2014-06-24,J,ECON 101,,200,"Neither gaseous or solid but this term, meaning ""in cash"" or readily convertible into cash without a big loss of principal",liquid,NA
2014-06-24,J,COLORFUL SPORTS,,200,"The area surrounding a golf hole; the average size on the pro tours is about 6,000 square feet",the green,NA
2014-06-24,J,EUROPEAN COUNTRY BY REGIONS,,200,"Arcadia,Corinth,Samos",Greece,NA
2014-06-24,J,POTPOURRI,,200,Running back Jackson or actress Derek,Bo,NA
2014-06-24,J,WILL YOU STILL FEED ME?,,200,"Och aye! Haggamuggie is a simplified version of this, but with fish liver--sounds even better",haggis,NA
2014-06-24,J,WHEN? IN '64,,200,In Feb. 1964 Italy said it was reviewing ideas from the world over to help save this landmark from collapse,the Leaning Tower of Pisa,NA
2014-06-24,J,ECON 101,,400,In 2008 prices in Zimbabwe doubled every 24.7 hours due to hyper-this,inflation,NA
2014-06-24,J,COLORFUL SPORTS,,400,Notorious nickname of the Chicago team that threw the 1919 World Series,the Black Sox,NA
2014-06-24,J,EUROPEAN COUNTRY BY REGIONS,,400,"Zug,Lucerne,Valais",Switzerland,NA
2014-06-24,J,POTPOURRI,,400,"When functioning properly, ""all systems are"" this, meaning ready",go,NA
2014-06-24,J,WILL YOU STILL FEED ME?,,400,"Rachael Ray has a 22-minute recipe for burgers of this ""cordon bleu""; 10 minutes of prep & 12 to cook",chicken,NA
2014-06-24,J,WHEN? IN '64,,400,Ford was feeling frisky on March 9 when this now-classic car rolled off the assembly line for the first time,the Mustang,NA
2014-06-24,J,ECON 101,,600,"The IMF, this U.N. agency, was founded in 1944 in part to stabilize currency exchange rates",the International Monetary Fund,NA
2014-06-24,J,COLORFUL SPORTS,,600,Sun Life Stadium in Florida is home to the Miami Dolphins & this college bowl game,the Orange Bowl,NA
2014-06-24,J,EUROPEAN COUNTRY BY REGIONS,,600,"Nordland,Oppland,Telemark",Norway,NA
2014-06-24,J,POTPOURRI,,600,It flows 405 miles to the Adriatic,the Po,NA
2014-06-24,J,WILL YOU STILL FEED ME?,,600,"From the Dutch for ""to curl"", this doughnut-style dough is fried & brushed with a sweet glaze",a cruller,NA
2014-06-24,J,WHEN? IN '64,,600,"This author gained notice--how could he not--leading a group called ""The Merry Pranksters"" on a wild cross-country bus trip",Ken Kesey,http://www.j-archive.com/media/2014-06-24_J_23.jpg
2014-06-24,J,ECON 101,,NA,"In 1778, after detailing the ""invisible hand"" guiding commerce, he became a commissioner of customs",Adam Smith,NA
2014-06-24,J,COLORFUL SPORTS,,800,This cup awarded to the Canadian Football League champion was named for a governor general of Canada,the Grey Cup,NA
2014-06-24,J,EUROPEAN COUNTRY BY REGIONS,,800,"Algarve,Alentejo,Beira",Portugal,NA
2014-06-24,J,POTPOURRI,,800,"In a Kipling work, it comes between ""Just"" & ""Stories""",So,NA
2014-06-24,J,WILL YOU STILL FEED ME?,,800,"""Why don't you dance with me?  I'm not no"" this cheese described as ""devastatingly odorous""",limburger,NA
2014-06-24,J,WHEN? IN '64,,800,"In an October 14 surprise, he quit after a coup as head of the USSR due to--ahem--""advanced age and poor health""",Khrushchev,NA
