date,round,category,comment,value,clue,response,link
1988-11-17,J,WORD ORIGINS,,100,"The adjective ""ruddy"" comes from the Old English ""rudig"", meaning this color",red,NA
1988-11-17,J,SINGERS,,100,"Country singer Lacy J. Dalton was vice president of the ACM, which is this",the Academy of Country Music,NA
1988-11-17,J,PHYSICAL SCIENCE,,100,"An American, Theodore Maiman, built the first of these light-amplifying devices in 1960",a laser,NA
1988-11-17,J,AMERICAN LITERATURE,,100,An ex-football player who enters the ministry is the subject of this Sinclair Lewis novel,Elmer Gantry,NA
1988-11-17,J,BOTTOMS UP,,100,Legend says bats lived in a shed at its rum distillery & one of them is still on its labels,Bacardi,NA
1988-11-17,J,IN THE NEWS,,100,"Business is no longer ""hopping"" in these clubs, now that the last one in the U.S., in Lansing, Michigan, has closed",Playboy Clubs,NA
1988-11-17,J,WORD ORIGINS,,200,"It's a French word meaning ""Dutch,"" and in English it usually refers to a sauce",hollandaise,NA
1988-11-17,J,SINGERS,,200,"Some stores refused to stock his ""Lovesexy"" album because he was nude on the cover",Prince,NA
1988-11-17,J,PHYSICAL SCIENCE,,200,"When burning, sulfur becomes this compound that's used to keep dried fruit from turning brown",sulfur dioxide,NA
1988-11-17,J,AMERICAN LITERATURE,,200,James M. Cain's first novel; think letters & bells for a clue to its title,The Postman Always Rings Twice,NA
1988-11-17,J,BOTTOMS UP,,200,"Almond-flavored liqueur whose name comes from the Italian for ""bitter,"" not the Italian for ""love""",Amaretto,NA
1988-11-17,J,IN THE NEWS,,200,Forbes magazine said this singer has overtaken Bill Cosby as the highest-paid entertainer in the world,Michael Jackson,NA
1988-11-17,J,WORD ORIGINS,,300,"From the Latin for shield, ""scutum,"" it's a shield bearing a coat of arms",escutcheon,NA
1988-11-17,J,SINGERS,,300,"He made his first tour of the U.S. as a solo performer in 1988, & wham!, he was a smash",George Michael,NA
1988-11-17,J,PHYSICAL SCIENCE,,300,It's defined as a form of an element with the same atomic number but different atomic weight,Isotope,NA
1988-11-17,J,AMERICAN LITERATURE,,300,"J.P. Marquand, who won a Pulitzer for ""The Late George Apley,"" created this Japanese spy/detective",Mr. Moto,NA
